Structure Type,STR type,Likely Vulnerability,VI,VII,VIII,IX
"Rubble stone,",RS,A,0,5,32,7
Adobe,A,A,0,3.8,25,61
Simple stone,DS,B,0,0.3,6.5,34
Massive stone,MS,C,0,0,1.3,12
Unreinforced,UFB,B,0,0.3,6.1,33
Unreinforced brick,UFB4,C,0,0,1.3,12
Reinforced or,RM1,D,0,0,0.3,4
Reinforced concrete,C3,C,0,0.3,2.6,13.4
Reinforced concrete,C3,D,0,0,0.25,2.6
Reinforced concrete,C1,E,0,0,0,0.25
Reinforced concrete,C2*,C,0,0,0.25,5.1
Reinforced concrete,C2*,D,0,0,0,0.25
Reinforced concrete,C2*,E,0,0,0,0
Steel frame (all type),S,E,0,0,0.5,4.5
Timber structures,W,D,0,0,0.25,2.6
Timber structures,W1,NA,0,0,0,0
Timber structures,W2,NA,0,0,0.25,2.6
Timber structures,W3,NA,0,0.3,5,27
