HalfHour,Work,Other,Home
0,4,4,92
1.5,4,4,92
2,3,2,95
2.5,3,1,96
3,3,11,86
3.5,2,1,97
4,3,1,96
4.5,3,1,96
5,7,10,83
5.5,11,10,79
6,15,11,74
6.5,20,12,68
7,35,14,51
7.5,41,16,43
8,50,16,34
8.5,60,18,22
9,65,18,17
9.5,68,17,15
10,65,15,20
10.5,68,18,14
11,65,18,17
11.5,60,17,23
12,50,22,28
12.5,46,23,31
13,68,21,11
13.5,65,23,12
14,60,25,15
14.5,57,27,16
15,53,30,17
15.5,48,30,22
16,44,28,28
16.5,37,28,35
17,28,28,44
17.5,22,40,38
18,16,42,42
18.5,13,38,49
19,13,30,57
19.5,13,30,57
20,11,25,64
20.5,9,20,71
21,9,17,74
21.5,9,13,78
22,7,9,84
22.5,6,5,89
23,6,5,89
23.5,5,4,91
